date,actual consumption,predicted_consumption,population,demand
2018-04-24,3213583,3257986.2,,
2018-04-25,3339857,3283596.5,,
2018-04-26,3312360,3293900.2,,
2018-04-27,3245064,3248457.5,,
2018-04-28,3237660,3257846.0,,
2018-04-29,3350892,3269088.5,,
2018-04-30,3182624,3229549.8,,
2018-05-01,3321323,3414116.8,,
2018-05-02,3489660,3416604.5,,
2018-05-03,3432316,3462986.8,,
2018-05-04,3419316,3383546.0,,
2018-05-05,3491354,3346769.2,,
2018-05-06,3382108,3357456.5,,
2018-05-07,3249377,3296466.5,,
2018-05-08,3418658,3364357.2,,
2018-05-09,3328061,3354954.8,,
2018-05-10,3292792,3347506.5,,
2018-05-11,3362168,3324005.0,,
2018-05-12,3364503,3342104.5,,
2018-05-13,3323035,3345878.2,,
2018-05-14,3280621,3332619.5,,
2018-05-15,3247638,3356777.8,,
2018-05-16,3327955,3371079.8,,
2018-05-17,3435404,3373516.5,,
2018-05-18,3452979,3387051.0,,
2018-05-19,3481509,3425987.5,,
2018-05-20,3334611,3379306.5,,
2018-05-21,3432497,3381492.5,,
2018-05-22,3437983,3367699.2,,
2018-05-23,3408464,3372220.5,,
2018-05-24,3412666,3380583.2,,
2018-05-25,3283455,3375685.5,,
2018-05-26,3418573,3414401.5,,
2018-05-27,3411097,3401651.0,,
2018-05-28,3445018,3392884.8,,
2018-05-29,3260437,3380249.5,,
2018-05-30,3439005,3408927.0,,
2018-05-31,3327110,3343518.0,,
2018-06-01,3391483,3393946.8,,
2018-06-02,3345001,3386572.5,,
2018-06-03,3471151,3456163.0,,
2018-06-04,3373233,3355707.5,,
2018-06-05,3296138,3331890.8,,
2018-06-06,3285503,3320333.2,,
2018-06-07,3270668,3311843.2,,
2018-06-08,3278324,3322105.5,,
2018-06-09,3260893,3307124.2,,
2018-06-10,3303396,3322350.5,,
2018-06-11,3367261,3363313.5,,
2018-06-12,3443175,3378256.0,,
2018-06-13,3493629,3380751.5,,
2018-06-14,3349439,3366555.0,,
2018-06-15,3502847,3330481.2,,
2018-06-16,3371884,3352231.0,,
2018-06-17,3481849,3338902.8,,
2018-06-18,3469289,3385599.5,,
2018-06-19,3349036,3379453.5,,
2018-06-20,3411076,3397167.5,,
2018-06-21,3329580,3391238.2,,
2018-06-22,3277053,3371696.8,,
2018-06-23,3370965,3358033.0,,
2018-06-24,3278751,3349649.5,,
2018-06-25,3319286,3392187.5,,
2018-06-26,3331709,3397662.5,,
2018-06-27,3358301,3398425.8,,
2018-06-28,3498695,3413683.0,,
2018-06-29,3389997,3389574.5,,
2018-06-30,3331461,3373180.0,,
2018-07-01,3272180,3350420.8,,
2018-07-02,3359590,3391965.2,,
2018-07-03,3463855,3427324.2,,
2018-07-04,3293889,3372483.0,,
2018-07-05,3361140,3383795.2,,
2018-07-06,3357604,3356674.8,,
2018-07-07,3290329,3346258.8,,
2018-07-08,3284413,3387940.8,,
2018-07-09,3477302,3447580.5,,
2018-07-10,3513554,3457197.0,,
2018-07-11,3509540,3472315.5,,
2018-07-12,3391475,3420994.5,,
2018-07-13,3485277,3378291.2,,
2018-07-14,3286872,3364915.0,,
2018-07-15,3315948,3360567.8,,
2018-07-16,3335228,3385447.0,,
2018-07-17,3384859,3405486.5,,
2018-07-18,3290496,3399691.8,,
2018-07-19,3475523,3427988.5,,
2018-07-20,3434221,3418514.5,,
2018-07-21,3480949,3412995.5,,
2018-07-22,3448678,3380988.8,,
2018-07-23,3290627,3403087.8,,
2018-07-24,3418163,3422543.8,,
2018-07-25,3499674,3467490.2,,
2018-07-26,3511891,3462047.0,,
2018-07-27,3397467,3404278.5,,
2018-07-28,3423446,3427881.5,,
2018-07-29,3530493,3436588.2,,
2018-07-30,3400704,3422435.5,,
2018-07-31,3458847,3289866.8,,
2018-08-01,3422661,3419948.8,,
2018-08-02,3331298,3429438.8,,
2018-08-03,3305678,3444218.2,,
2018-08-04,3457943,3413403.0,,
2018-08-05,3398156,3355429.2,,
2018-08-06,3464509,3405048.0,,
2018-08-07,3451898,3414397.2,,
2018-08-08,3464047,3478851.8,,
2018-08-09,3507144,3496080.0,,
2018-08-10,3510862,3469408.5,,
2018-08-11,3332028,3466562.2,,
2018-08-12,3300642,3362370.2,,
2018-08-13,3398165,3409865.5,,
2018-08-14,3523370,3429431.5,,
2018-08-15,3352773,3433023.2,,
2018-08-16,3542197,3455519.0,,
2018-08-17,3506825,3423504.2,,
2018-08-18,3370955,3396855.2,,
2018-08-19,3467086,3411357.5,,
2018-08-20,3347509,3440016.0,,
2018-08-21,3418079,3446788.0,,
2018-08-22,3407431,3434984.2,,
2018-08-23,3378773,3436566.8,,
2018-08-24,3454432,3426601.2,,
2018-08-25,3491797,3460673.5,,
2018-08-26,3468164,3445873.2,,
2018-08-27,3431156,3435539.0,,
2018-08-28,3307898,3417750.2,,
2018-08-29,3549035,3478708.8,,
2018-08-30,3504396,3481177.8,,
2018-08-31,3185426,3179832.8,,
2018-09-01,3193586,3155342.8,,
2018-09-02,3109773,3072560.8,,
2018-09-03,3019233,3086911.0,,
2018-09-04,3042325,3057087.0,,
2018-09-05,3199249,3134169.5,,
2018-09-06,3028545,3043093.2,,
2018-09-07,2989301,3041570.8,,
2018-09-08,3113632,3091218.2,,
2018-09-09,3162568,3157903.0,,
2018-09-10,3078063,3089699.8,,
2018-09-11,2982453,3108599.2,,
2018-09-12,3193165,3123821.5,,
2018-09-13,3121930,3080821.0,,
2018-09-14,3079895,3056442.8,,
2018-09-15,3051639,3058059.8,,
2018-09-16,3058915,3058421.5,,
2018-09-17,3157993,3118863.5,,
2018-09-18,3011548,3046575.2,,
2018-09-19,3059514,3086251.0,,
2018-09-20,2988285,3063687.0,,
2018-09-21,3233257,3133090.8,,
2018-09-22,3067347,3079162.2,,
2018-09-23,3127915,3066350.5,,
2018-09-24,3192910,3149393.5,,
2018-09-25,3040314,3080139.0,,
2018-09-26,3192897,3147123.0,,
2018-09-27,3026346,3086946.8,,
2018-09-28,3093795,3091361.8,,
2018-09-29,3136293,3106966.8,,
2018-09-30,2992203,3047448.2,,
2018-10-01,3224563,3126553.8,,
2018-10-02,3152503,3138782.5,,
2018-10-03,3234178,3187805.8,,
2018-10-04,3132338,3080763.8,,
2018-10-05,3085332,3091616.5,,
2018-10-06,3160267,3113808.2,,
2018-10-07,3177955,3149777.8,,
2018-10-08,3147980,3129165.2,,
2018-10-09,3178219,3131677.2,,
2018-10-10,3209824,3176020.5,,
2018-10-11,3096122,3148656.2,,
2018-10-12,3006141,3068377.5,,
2018-10-13,3103766,3105750.2,,
2018-10-14,3128960,3123386.5,,
2018-10-15,3193227,3155030.0,,
2018-10-16,3008862,3062429.5,,
2018-10-17,3086462,3106525.8,,
2018-10-18,3014335,3062000.8,,
2018-10-19,3231648,3147675.5,,
2018-10-20,3019493,3068507.5,,
2018-10-21,3197288,3079673.2,,
2018-10-22,3096355,3145568.8,,
2018-10-23,3045268,3094705.2,,
2018-10-24,3104653,3114370.0,,
2018-10-25,3159201,3112666.5,,
2018-10-26,3066694,3113515.0,,
2018-10-27,3186552,3154728.2,,
2018-10-28,3222507,3119339.5,,
2018-10-29,3243056,3213631.2,,
2018-10-30,3121533,3162140.8,,
2018-10-31,3110599,3208868.8,,
2018-11-01,3080423,3109422.8,,
2018-11-02,3006650,3119152.2,,
2018-11-03,3102338,3110243.2,,
2018-11-04,3012024,3075892.8,,
2018-11-05,3027462,3066364.5,,
2018-11-06,3117304,3097391.0,,
2018-11-07,3220184,3211199.8,,
2018-11-08,3077214,3130646.5,,
2018-11-09,3222278,3156534.8,,
2018-11-10,3030227,3125810.0,,
2018-11-11,3213365,3183760.5,,
2018-11-12,3075338,3089101.0,,
2018-11-13,3173153,3132885.8,,
2018-11-14,3052910,3146006.8,,
2018-11-15,3221758,3152225.5,,
2018-11-16,3227252,3147311.8,,
2018-11-17,3065491,3062531.2,,
2018-11-18,3146513,3041116.8,,
2018-11-19,3187020,3179030.5,,
2018-11-20,3146718,3131772.2,,
2018-11-21,3121416,3146069.0,,
2018-11-22,3234279,3133612.5,,
2018-11-23,3085104,3138287.8,,
2018-11-24,3003441,3064931.5,,
2018-11-25,3059272,3071309.8,,
2018-11-26,3220997,3201534.5,,
2018-11-27,3254233,3201233.8,,
2018-11-28,3139344,3189613.0,,
2018-11-29,3196985,3191823.0,,
2018-11-30,3186576,3179766.2,,
2018-12-01,3213016,3195967.0,,
2018-12-02,3137909,3156483.2,,
2018-12-03,3241914,3196631.5,,
2018-12-04,3019476,3072092.0,,
2018-12-05,3243198,3197236.0,,
2018-12-06,3054172,3134433.5,,
2018-12-07,3183791,3165568.8,,
2018-12-08,3079816,3103501.2,,
2018-12-09,3239339,3197184.5,,
2018-12-10,3223480,3189089.0,,
2018-12-11,3177849,3177841.0,,
2018-12-12,3192755,3184741.2,,
2018-12-13,3265276,3145372.5,,
2018-12-14,3161899,3146816.0,,
2018-12-15,3085680,3064585.2,,
2018-12-16,3016881,3059780.2,,
2018-12-17,3121308,3167815.8,,
2018-12-18,3139201,3125894.0,,
2018-12-19,3237561,3171749.8,,
2018-12-20,3020219,3092657.0,,
2018-12-21,3162487,3136923.0,,
2018-12-22,3032097,3062563.0,,
2018-12-23,3077003,3058850.8,,
2018-12-24,3241233,3218970.2,,
2018-12-25,3084633,3107531.5,,
2018-12-26,3256354,3178913.0,,
2018-12-27,3235114,3203149.2,,
2018-12-28,3178067,3170891.5,,
2018-12-29,3135017,3157273.2,,
2018-12-30,3135397,3135417.8,,
2018-12-31,3247558,3248932.8,,
2019-01-01,3384850,3376380.8,,
2019-01-02,3289457,3299170.2,,
